,school_name,overview_paragraph,neighborhood,location,website,grades2018,finalgrades,total_students,graduation_rate,attendance_rate,college_career_rate,Borough,addr_zip,Latitude,Longitude
45,High School for Law Enforcement and Public Safety,"We provide our students with a state-of-the-art facility. We work in collaboration with the New York City Police Department and Police Athletic League. Our school offers a challenging academic program introducing careers in law, law enforcement, and public safety. By fully integrating the themes of law enforcement and public safety throughout the educational program, students come to understand how all areas of study are interrelated and how their educational experience supports their career choice.",Baisley Park,"116-25 Guy R Brewer Boulevard, Jamaica NY 11434(40.685838, -73.783438)",www.hsleaps.org,9 to 12,9 to 12,498,0.8,0.89,0.63,QUEENS   ,11434,40.686208,-73.784144
46,Metropolitan Diploma Plus High School,"Metropolitan Diploma Plus High School is a learning community where adults are committed to supporting students' potential as they reconnect to education and embark on paths filled with opportunity. Through collaboration with New York City Mission Society and Single Shepherd, students can participate in real-world experiences that provide challenges, knowledge, choice, and positive outcomes. Students engage in learning experiences to improve college- and career-readiness skills. Youth development and leadership play an important role as students re-engage in high school.",Brownsville,"985 Rockaway Avenue, Brooklyn NY 11212(40.655644, -73.906662)",schools.nyc.gov/SchoolSearch,"School is structured on credit needs, not grade level","School is structured on credit needs, not grade level",217,0.7905707196029778,0.66,0.5928385416666667,BROOKLYN ,11212,40.656068,-73.90724499999999
47,NYC iSchool,"NYC iSchool is dedicated to equipping students with the skills necessary for success and leadership in the 21st century. The iSchool program is designed to offer students opportunities to engage in meaningful work that has relevance to them and the world, with the choice and responsibility to determine their high school experience, and unique structures to support their development.",SoHo-Tribeca,"131 Avenue Of The Americas, Manhattan NY 10013(40.72463, -74.005058)",nycischool.org,9 to 12,9 to 12,457,0.98,0.93,0.91,MANHATTAN,10013,40.7244,-74.004625
48,Pathways in Technology Early College High School (P-TECH),"At Pathways in Technology Early College High School (P-TECH), students drawn to future careers in information technology (IT), computers, engineering, math, and science receive individualized support in preparing for and securing an entry-level position in the highly competitive IT industry. As a founding partner of the school, IBM (and other corporations) will provide all students with internship and training opportunities, exposing them to real-world technology careers. In addition, P-TECH students are able to earn an Associate degree or up to two years of college credit from CUNY's New York City College of Technology-at no cost-while still in high school.",Crown Heights North,"150 Albany Avenue, Brooklyn NY 11213(40.675905, -73.939282)",ptechnyc.org,9 to 14,9 to 14,592,0.81,0.93,0.68,BROOKLYN ,11213,40.675612,-73.938843
49,The Laboratory School of Finance and Technology,"Our school sets a high academic bar that challenges students to expand their personal and academic visions of themselves. Through partnerships with outside organizations students learn by connecting with professionals. Students pick an academic focus in either finance, technology, or language studies. We have a one-to-one Chromebook program, enabling all students to access technology in the classroom and at home. As a Consortium school, all courses place emphasis on research and writing, culminating in Performance Based Assessment Tasks. In addition, through a partnership with Blue Engine, all students receive individualized support in their 9th and 10th grade English and Math courses.",Mott Haven-Port Morris,"360 East 145th Street, Bronx NY 10454(40.813612, -73.920851)",ms223.org,6 to 12,6 to 12,684,0.92,0.9,0.5928385416666667,BRONX    ,10454,40.813983,-73.92078199999999
50,Eagle Academy for Young Men III,"Eagle Academy III is an all-male college preparatory school (grades 6-12) that educates and develops young men into future leaders. This is done through strategic partnerships between our scholars, administrators, teachers, parents, mentors, and community supporters. Through Eagle Academy's mission to cultivate integrity, students learn team-building and engage in community service while working in a nurturing and academically rigorous environment. Eagle Academy's young men develop core values of academic excellence, leadership, and character, supported by the following initiatives: Mentoring, Saturday Institute, Summer Programs, Community Service, Parental Engagement and Extended Learning Opportunities.",St. Albans,"171-10 Linden Boulevard, Jamaica NY 11434(40.69172, -73.778924)",schools.nyc.gov/SchoolSearch,6 to 12,6 to 12,531,0.93,0.91,0.5928385416666667,QUEENS   ,11434,40.691712,-73.77892299999999
51,Unity Center for Urban Technologies,"We take pride in our nurturing environment where all students can reach their fullest potential. We stress student-teacher connection to provide guidance and support to all of our students. Our young people develop and enhance their skills at their own pace. Students are engaged in a challenging Common Core Learning Standards-aligned academic program that prepares them for higher education programs and achieving their career goals. We examine all assessment data in order to develop alternative academic programs to strengthen student performance. We utilize differentiated instruction and technology to deliver a diversified curriculum, as well as to offer enrichment programs that promote creativity and student engagement.",Murray Hill-Kips Bay,"111 East 33rd Street, Manhattan NY 10016(40.74651, -73.98107)",schools.nyc.gov/SchoolSearch,9 to 12,9 to 12,255,0.77,0.84,0.64,MANHATTAN,10016,40.746176,-73.981241
52,Urban Assembly School for Criminal Justice,"The Urban Assembly School for Criminal Justice (UASCJ) is an all-girls school that prepares students for college and the world of work, teaching them the content and skills necessary for future success. We help develop the work habits and study skills that promote academic achievement. Students are also encouraged to participate in the many after-school and extracurricular activities we offer as they are integral to future educational and work success. As an all-girls school, our students are part of a tight-knit, diverse community and they benefit greatly from our small size and unique personal attention.",Borough Park,"4200 16th Avenue, Brooklyn NY 11204(40.6351, -73.982424)",uascriminaljustice.org,6 to 12,6 to 12,556,0.93,0.9,0.81,BROOKLYN ,11204,40.634875,-73.981528
53,Benjamin Banneker Academy,"Our mission of Benjamin Banneker Academy for Community Development is to provide rigorous, student-centered instruction in every classroom and to instill intellectual curiosity and excellence, integrity, and cultural awareness in every student. Through student programs and strategic partnerships, we seek to create opportunities for college access, lifelong learning, and fulfilling careers. We will provide opportunities for members of our community to share ideas and resources aligned to enhance the educational experience for our scholars. We are dedicated to creating and maintaining a supportive and collaborative learning environment that encourages our students' physical, social, emotional, and academic growth.",Clinton Hill,"71-77 Clinton Avenue, Brooklyn NY 11205(40.695389, -73.968759)",schools.nyc.gov/SchoolSearch,9 to 12,9 to 12,844,0.92,0.88,0.8,BROOKLYN ,11205,40.695332,-73.969243
54,"Young Women's Leadership School, Queens (TYWLS)","The Young Women's Leadership School (TYWLS) nurtures the intellectual curiosity and creativity of young women by supporting the whole girl in order to maximize academic achievement, social-emotional well-being, and postsecondary success. TYWLS-Queens is supported by Young Women's Leadership Network and its CollegeBound Initiative to replicate the best practices of private and independent girls schools. TYWLS-Queens opened in 2005 as the third school in the network. TYWLS-Queens strives to instill in students a sense of self-efficacy and community responsibility, characteristics that will support them as they become the leaders of the next generation. TYWLS-Queens expects families to play an active role in their daughters' education.",Briarwood-Jamaica Hills,"150-91 87th Road, Jamaica NY 11432(40.708409, -73.804166)",tywlsqueens.org,6 to 12,6 to 12,563,0.96,0.94,0.84,QUEENS   ,11432,40.707527,-73.806412
55,Benjamin N. Cardozo High School,"Cardozo High School prides itself on being a school of excellence with a heart. Known for a longstanding tradition of academic achievement, our mission is to design, operate, and implement classes and programs that prepare all of our students for success in college, career, and beyond. We promote character by creating a community in which each individual is valued, respected and supported to achieve both within and outside of the classroom. We believe that the whole student must be nurtured throughout high school so in addition to our high academics expectations, which are reflected in our many advanced and specialty offerings, we offer extensive arts, athletics, and extra curricular programs to enhance the growth of all of our learners.",Bayside-Oakland Gardens,"57-00 223rd Street, Bayside NY 11364(40.752343, -73.757271)",cardozohigh.com,9 to 12,9 to 12,3699,0.91,0.92,0.77,QUEENS   ,11364,40.752333,-73.75599
56,Young Women's Leadership School (TYWLS),"The Young Women's Leadership School of East Harlem opened in 1996 as the first in a national network of all-girls college prep schools. TYWLS nurtures the intellectual curiosity and creativity of young women by supporting the whole girl in order to maximize academic achievement, social and emotional well-being, and post-secondary success. Our support structures include daily advisory, after-school academic tutoring, and regular contact with parents. The Young Women's Leadership Network supports our school with a wide range of leadership programs. The CollegeBound Initiative (CBI) provides college access support with a full-time CBI college counselor on our staff who guides each of our students through the college application process.",East Harlem South,"105 East 106th Street, New York NY 10029(40.792932, -73.947171)",tywls.org,6 to 12,6 to 12,481,1.0,0.94,0.97,MANHATTAN,10029,40.792741,-73.947428
57,Theater Arts Production Company School (TAPCo),"Featured in US News and World Report's Best High Schools in America '16 & '17, students graduate with the skills necessary for success in the 21st century. Our freshman students major in Theater, Dance, Vocal Music, Instrumental Music, or Visual Studies. We typically achieve a 99% college acceptance rate with over $800,000 in offered scholarships. We have the DOE's only rooftop garden/outdoor performance space with a sustainable living-oriented curriculum. Our school's philosophy is to ""take care of ourselves and each other."" We use the Arts and Technology to provide innovative and engaging instruction that inspires students to develop their academic, creative, and world-citizen potential through a heart and hands on approach to learning.",Mount Hope,"2225 Webster Avenue, Bronx NY 10457(40.854257, -73.897404)",tapconyc.org,6 to 12,6 to 12,608,0.73,0.85,0.65,BRONX    ,10457,40.854493,-73.89671700000001
58,Bronx High School for Medical Science,"Our school offers a small, academically-challenging high school experience to students who wish to enter the fields of medical science and health. Science courses are embedded into all curricular areas. At our school, the first three years of study are devoted to the completion of all requirements for graduation, while the last year is devoted to CUNY College Now coursework. Over the course of their high school experience, students become 'resident experts' in a topic of their choice and are required to compile a variety of reports, experiments, and artifacts culminating in a senior year presentation to their peers.",E. Concourse-Concourse Village,"240 East 172nd Street, Bronx NY 10457(40.839307, -73.911366)",schools.nyc.gov/SchoolSearch,6 to 12,6 to 12,433,0.91,0.93,0.83,BRONX    ,10457,40.840422,-73.91091
59,Brooklyn College Academy,"As an Early College High School, our unique, successful collaboration with Brooklyn College enables highly motivated students with diverse backgrounds and interests to move from 9th to 12th grade within a challenging academic atmosphere. We encourage our students to function independently in educational settings outside the school building and in a college campus environment. We are a collaborative community of leaders and learners whose learning environment is characterized by equity and excellence.",Windsor Terrace,"350 Coney Island Avenue, Brooklyn NY 11218(40.649055, -73.972312)",brooklyncollegeacademy.com,9 to 12,9 to 12,622,0.98,0.95,0.95,BROOKLYN ,11218,40.649404,-73.97173599999999
60,Rachel Carson High School for Coastal Studies,"Our mission is to provide a strong core academic curriculum with a concentration in marine sciences. Imagine an education being delivered along the shores of the Atlantic Ocean in the legendary community of Coney Island, surrounded by the New York Aquarium's collection of marine mammals, fish, and invertebrates. Our partnerships with the New York Aquarium and the Brooklyn Center for the Urban Environment offer students a world-class, challenging, standards-based education.",West Brighton,"521 West Avenue, Brooklyn NY 11224(40.582518, -73.972009)",RachelCarsonhs.org,9 to 12,9 to 12,639,0.67,0.86,0.54,BROOKLYN ,11224,40.582533000000005,-73.97313199999999
61,Riverdale / Kingsbridge Academy (Middle School / High School 141) (RKA),"Riverdale/Kingsbridge Academy (RKA) is committed to providing a challenging academic curriculum in a community-based environment. We are a neighborhood academy within a residential zone instructing students in grades six through twelve. Students, families, and the community come first!",Fieldston-Riverdale,"660 West 237th Street, Bronx NY 10463(40.887407, -73.914141)",rka141.org,6 to 12,6 to 12,1513,0.92,0.92,0.71,BRONX    ,10463,40.888338,-73.91348599999999
62,CSI High School for International Studies,"Our challenging and academically demanding program is designed around college preparedness and aligned to Common Core Learning Standards. High standards, rigor, and global themes are infused throughout subjects. Exceptionally high standards around student conduct, school tone, and academic citizenship are strictly maintained. Students are required to present comprehensive portfolios and engage in summer research projects. Teachers work to challenge students' thinking, build student ownership of learning, and prepare students for college. Students have opportunities to travel and foster cross-cultural learning. All students must undertake at least three years of world language, including Mandarin Chinese or Spanish, building global competence.",Todt Hill-Heartland Village,"100 Essex Drive, Staten Island NY 10314(40.581958, -74.159343)",csihighschool.org,9 to 12,9 to 12,495,0.99,0.95,0.92,STATEN IS,10314,40.581315000000004,-74.158589
63,Brooklyn Technical High School,"Brooklyn Tech is the nation's largest high school. Much of the school's facilities have been reborn for the 21st century, the school is a national model for excellence and has a stimulating environment that fosters transformational education and personal growth. Through input from its STEM partners, our classrooms and labs are on par with university and industry standards. The very active Brooklyn Tech Alumni Foundation enriches the culture of the school, supports student and faculty initiatives, and is an incubator for new school programs. Students are provided an immersive experience that includes 10 courses in one of 19 different majors as well as the opportunity to participate in the largest Advanced Placement program in the world!",Fort Greene,"29 Ft Greene Place, Brooklyn NY 11217(40.688896, -73.976435)",bths.edu,9 to 12,9 to 12,5838,0.98,0.96,0.95,BROOKLYN ,11217,40.688834,-73.976905
64,Morris Academy for Collaborative Studies,"At Morris Academy for Collaborative Studies our students learn by doing. Our staff connects with students, parents, and community partners to build and refine a framework that supports the whole student as we put students first. Our students work collaboratively and take charge of their learning while developing into creative problem-solvers who lead by example and thrive in college, career, and community endeavors. The most effective way to achieve our vision is through projects-based learning, a series of data-informed, student-centered initiatives that meet student needs, and socio-emotional support for students. Projects increase academic rigor for students and provides opportunities for instruction to be relevant to students' lives.",Morrisania-Melrose,"1110 Boston Road, Bronx NY 10456(40.827455, -73.90392)",macsx297.org,9 to 12,9 to 12,401,0.73,0.84,0.46,BRONX    ,10456,40.827642,-73.904473
65,Grover Cleveland High School,"Our school is a nurturing, inclusive learning environment that enables students to achieve their college/career goals through various pathways of study. Majors of study include: Information Technology, Engineering, Hospitality/Tourism, EMT Studies, Lifeguarding, Art/Music. Our students have been awarded by the Chancellor's Office for building mobile apps, winning and ranking high in national/international bridge building competitions, consistently ranking high in the citywide Science Olympiad, as well as producing some of the best life guards in the NYC area over the last decade. Industry Certifications include: Hospitality/Tourism, Cert. First Responder, EMT, First Aid/CPR, Life-Guarding, Microsoft Technology and Water Safety Instructor.",Ridgewood,"21-27 Himrod Street, Ridgewood NY 11385(40.711881, -73.909202)",groverclevelandhs.com,9 to 12,9 to 12,1775,0.63,0.83,0.43,QUEENS   ,11385,40.711033,-73.908814
66,Spring Creek Community School,"This is a small 6th through 12th grade school where students receive personal and individualized attention as they focus on their rigorous academic and creative work. We offer project-based learning that challenges students to question, discuss, collaborate, develop critical thinking skills, and solve problems. We incorporate the arts, critical literacy, and technology in all subjects. We believe that the key to achievement is to not only involve our students, but also their families-parents appreciate our focus on collaboration and communication and they can expect regular contact with our school. Our approach to education and relationships between all stake holders emphasize community responsibility, citizenship, and personal agency.",Bergen Beach,"1065 Elton Street, Brooklyn NY 11208(40.657266, -73.874064)",schools.nyc.gov/SchoolSearch,6 to 12,6 to 12,478,0.7905707196029778,0.92,0.5928385416666667,BROOKLYN ,11208,40.657459,-73.874756
67,East Side Community School,"We are a small college preparatory school that takes pride in our engaging and challenging curriculum. In our small classes, our students creatively apply what they learn to complete interesting, relevant and rigorous projects. Our teachers know our students well and provide the support they need to succeed. Because we believe that it is important for students to discover and develop their passions, we offer our students an amazing amount of extracurricular activities and travel opportunities that they enjoy tremendously. East Side is a great setting for students who are interested in being part of a vibrant and diverse community that focuses on academic, social, and emotional growth.",East Village,"420 East 12th Street, Manhattan NY 10009(40.729152, -73.982472)",www.eschs.org,6 to 12,6 to 12,683,0.92,0.94,0.77,MANHATTAN,10009,40.729589000000004,-73.982555
68,Bronx High School for the Visual Arts,"We offer a challenging, sequential, four-year pre-professional art program and an interdisciplinary academic curriculum within a close-knit school community. We offer two visual arts programs: one focuses on developing general knowledge, while the other prepares students to become professional graphic designers. Both programs emphasize skill-building, student creativity, interests, and community contributions. Our cultural partners provide learning experiences and additional resources for students and their families. Our small class size and project-based, student-centered curriculum provide individualized attention and prepare students for college and careers in the arts.",Pelham Parkway,"2040 Antin Place, Bronx NY 10462(40.851577, -73.864438)",bhsva418.com,9 to 12,9 to 12,441,0.66,0.84,0.38,BRONX    ,10462,40.851405,-73.865036
69,High School for Arts and Business,"The High School for Arts and Business is committed to providing opportunities for our students to achieve excellence in academic, career, and technical pursuits. Our individualized programming helps students earn an Advanced Regents diploma and continue on to the college or career path of their choice. Through broad-based educational experiences, our students develop technological and artistic literacy using an interactive approach. Our culturally diverse school community features partnerships that support personal growth and emphasize global understanding, leadership, and integrity.",Corona,"105-25 Horace Harding Expressway N, Corona NY 11368(40.737673, -73.853412)",schools.nyc.gov/SchoolSearch,9 to 12,9 to 12,812,0.9,0.92,0.68,QUEENS   ,11368,40.737427000000004,-73.853178
70,"City Polytechnic High School of Engineering, Architecture, and Technology","City Polytechnic High School for Engineering, Architecture, and Technology is a 9-14, P-TECH school that prepares our students for college study and careers in Construction Management, Civil Engineering, and Architectural Technology. All City Poly students have the opportunity to begin college earlier than their peers in other NYC public schools after completing their third year of high school successfully. Our scholars have access to participate in four semesters of full-time eligibility beyond high school. In the four semesters at City Tech, students can earn up to 60 (or more) college credits toward their associate's and/or bachelor's degree.",DUMBO-Downtown Brooklyn,"105 Tech Place, Brooklyn NY 11201(40.695444, -73.986105)",citypolyhs.org,9 to 14,9 to 14,439,0.87,0.89,0.77,BROOKLYN ,11201,40.694926,-73.98601500000001
71,Stuyvesant High School,"Stuyvesant High School's mission is to provide students with a rigorous curriculum that nurtures and rewards their intellectual curiosity. Although Stuyvesant is historically recognized for its strengths in math, science, and technology instruction, the school also has a dynamic and diverse humanities program, as well as unique educational opportunities outside the classroom.",Lower Manhattan,"345 Chambers Street, Manhattan NY 10282(40.718025, -74.013921)",stuy.edu,9 to 12,9 to 12,3336,0.98,0.97,0.98,MANHATTAN,10282,40.71759,-74.01374799999999
72,Tottenville High School,"Tottenville High School has long been recognized as a school of academic excellence. We pride ourselves in providing a safe environment for our students, offering a host of exciting and challenging programs, and an array of extracurricular activities. Our dedicated faculty is committed to setting high expectations that allow students to flourish. Our programs emphasize college and career preparedness and are aligned with Common Core Learning Standards. We have created a positive, healthy, and harmonious environment where every student has the opportunity to succeed and grow intellectually, emotionally, and socially.",Annadale-Huguenot-Princes Bay,"100 Luten Avenue, Staten Island NY 10312(40.528152, -74.193431)",tottenvillehs.com,9 to 12,9 to 12,3808,0.89,0.91,0.62,STATEN IS,10312,40.528092,-74.192032
73,Epic High School - South,"EPIC High School-South, an outgrowth of the NYC Expanded Success Initiative (ESI), provides a rigorous, culturally relevant academic program that prepares students for the demands of college and careers. EPIC's personalized approach to instruction challenges students to dream big and design their futures. It engages students in solving real-world problems and supports their individual progress and growth. EPIC High School South students graduate as informed, active citizens who are dedicated to improving their community.",South Ozone Park,"121-10 Rockaway Boulevard, South Ozone Park NY 11420(40.675021, -73.81673)",epicschoolsnyc.org,9 to 12,9 to 12,329,0.7905707196029778,0.84,0.5928385416666667,QUEENS   ,11420,40.675771000000005,-73.81693800000001
74,East Bronx Academy for the Future,"East Bronx Academy for the Future is a technology-based school for students in grades 6-12. Our students learn the content and skills required by the New York State Board of Regents combined with project-based learning and a focus on using technology in the classroom. Students learn in small classes, using computers and completing hands-on projects. Accelerated students take college courses in partnership with Lehman College. East Bronx Academy students graduate from high school ready for college and the world of work. Our graduates are linked to careers that employ technology such as journalism, the arts, engineering, architecture, and urban planning.",Crotona Park East,"1716 Southern Boulevard, Bronx NY 10460(40.836821, -73.887688)",eastbronxacademy.org,6 to 12,6 to 12,671,0.78,0.79,0.57,BRONX    ,10460,40.836356,-73.888361
75,Mott Hall V,"Mott Hall V is a science-, math-, and technology-based school dedicated to the academic and personal development of students who will become tomorrow's leaders. Students are challenged to question, anticipate, solve problems, assume personal responsibility, and emerge as enthusiastic, lifelong learners. We provide a structured environment for grades 6-12 that includes a nurturing staff, a strong sense of family and community, and substantial support for students' academic and personal growth.",West Farms-Bronx River,"1551 East 172nd Street, Bronx NY 10472(40.832508, -73.878191)",MottHallV.org,6 to 12,6 to 12,682,0.89,0.88,0.69,BRONX    ,10472,40.831416,-73.877785
76,Community Health Academy of the Heights,"We provide a small school setting in which students learn about health-related issues facing our community. Our goal is that each student will understand and internalize the physical, emotional, and academic qualities of health that are developmentally appropriate to his or her age. We prepare our graduates for careers in healthcare through our use of a health-themed curriculum and mentoring programs supported by community partnerships, with health professionals. These opportunities promote awareness of healthy lifestyles and ensure that our students become agents of change within the community.",Washington Heights S.,"504 West 158th Street, Manhattan NY 10032(40.833695, -73.942074)",mychah.org,6 to 12,6 to 12,703,0.79,0.79,0.54,MANHATTAN,10032,40.833687,-73.942072
77,Inwood Early College for Health and Information Technologies,"IEC is a career and technical education, early college school partnered with NY Presbyterian Hospital, Microsoft, and Bronx Community College. Through mastery based learning, students earn a regents diploma with technical certifications, an Associate degree at no cost, and work-based experience preparing them for technology or health related careers. Our students are future computer network administrators, cyber security specialists, game and device designers, medical professionals, artists, and entrepreneurs. Students have up to six years to earn their associate's degree in technology or the biological sciences before deciding to move directly into the job market or continue their education through the Bachelor's Degree level and beyond.",Inwood,"650 Academy Street, Manhattan NY 10034(40.865556, -73.925464)",inwoodearlycollege.org,9 to 14,9 to 14,376,0.7905707196029778,0.91,0.5928385416666667,MANHATTAN,10034,40.866053,-73.924835
78,Medgar Evers College Preparatory School,"Our students take challenging courses that include four years of English Language Arts (ELA), mathematics, science, and technology and three years of a foreign language. Students complete at least one Advanced Placement (AP) course. Students also enroll in college courses and research internships at Medgar Evers College, City University of New York (CUNY) in the 11th grade and earn up to 15 college credits each semester. Student creativity, character development, and social responsibility are cultivated through individualized guidance, college advisement, athletics, clubs, fine and performing arts events, community service, and mentorships.",Crown Heights South,"1186 Carroll Street, Brooklyn NY 11225(40.66679, -73.951823)",mecps.org,6 to 12,6 to 12,1257,0.98,0.89,0.8,BROOKLYN ,11225,40.667195,-73.951167
79,High School of Telecommunication Arts and Technology,"Our school is truly a school for the 21st century, enhancing rigorous academics in the liberal arts tradition with the most advanced technologies. Our small and ethnically diverse student body and our outstanding faculty work together to explore and maximize each student's individual strengths. Through an incredibly rich array of programs, electives, teams, and clubs, we offer students the opportunity to find a niche and to develop into responsible and productive citizens. We are very proud that our graduates have demonstrated their ability to be successful in the finest universities in the nation. In addition to our challenging educational program, we are an exceptionally friendly school-one of the best-kept secrets in the city.",Bay Ridge,"350 67th Street, Brooklyn NY 11220(40.636721, -74.023419)",hstat.org,9 to 12,9 to 12,1278,0.88,0.93,0.71,BROOKLYN ,11220,40.637282,-74.023849
80,Eleanor Roosevelt High School,Eleanor Roosevelt High School provides a supportive and rigorous college preparatory environment that places emphasis on giving back to the community. Students take four years in all core subjects and work towards achieving an Advanced Regents diploma.,Lenox Hill,"411 East 76th Street, Manhattan NY 10021(40.770288, -73.953276)",erhsnyc.org,9 to 12,9 to 12,541,1.0,0.96,0.9,MANHATTAN,10021,40.770187,-73.953608
81,"H.E.R.O. High (Health, Education, and Research Occupations High School)","At HERO High, students learn how to save lives and serve their communities by preparing for a career as a registered nurse or community health worker. Students take college classes starting in 10th grade and can earn a two-year Associate Degree with help from a small school environment. Our academic program prepares every student to succeed in college and career through hands-on, real-world problem solving, advanced work in math and science, and challenging reading and writing tasks in every class. Start your technical training early through internships in clinical nursing and community health work. Sometimes even heroes need extra help, so we offer tutoring in every subject area.",Mott Haven-Port Morris,"455 Southern Boulevard, Bronx NY 10455(40.810671, -73.907528)",herohigh.net,9 to 14,9 to 14,496,0.72,0.83,0.5928385416666667,BRONX    ,10455,40.810803,-73.907015
82,Edward R. Murrow High School,"Edward R. Murrow High School has been preparing students to be college-, career-, and life-ready for over 40 years. Designated a ""School of Excellence"" by the United States Department of Education, Edward R. Murrow High School has a long tradition of offering a wide variety of courses that are enhanced by high-quality instruction. We offer a wide range of academic opportunities and extracurricular activities in a learning environment that helps students discover their passions and talents as they learn to make their way in the world.",Midwood,"1600 Avenue L, Brooklyn NY 11230(40.619671, -73.959141)",ermurrowhs.org,9 to 12,9 to 12,3789,0.8,0.91,0.64,BROOKLYN ,11230,40.620525,-73.959285
83,"Young Women's Leadership School, Astoria (TYWLS)","The Young Women's Leadership School of Astoria opened in 2006 as part of a national network of college prep schools for young women. TYWLS nurtures the intellectual curiosity and creativity of young women by supporting the whole girl in order to maximize academic achievement, social and emotional well-being, and postsecondary success. Our school is established to include advisory, rigorous STEM, humanities, and arts opportunities in a 21st century learning environment. The Young Women's Leadership Network supports our school with a wide range of leadership programs. The College Bound Initiative (CBI) provides college access support with a full-time CBI college counselor who guides each student through the college application process.",Old Astoria,"23-15 Newtown Avenue, Astoria NY 11102(40.770769, -73.92383)",tywls-astoria.org,6 to 12,6 to 12,565,0.96,0.94,0.92,QUEENS   ,11102,40.771215000000005,-73.924591
84,Eagle Academy for Young Men II,"We are a grade 6-12 school that develops young men to be critical thinkers and active citizens who embody our Five Eagle Pillars: Commitment to Excellence, Resilience, Confidence, Leadership, and Effort. Our scholars follow individual schedules. We offer a range of courses, extracurriculars, and extended-learning opportunities. Our teachers understand and embrace the challenges of teaching our unique population and take strategic risks grounded in research-based practices. Eagle is more than a school: we are a family dedicated to ensuring that all of our young men reach their full potential as globally conscious and competitive Eagle Scholars.",Ocean Hill,"1137 Herkimer Street, Brooklyn NY 11233(40.678124, -73.915106)",schools.nyc.gov/SchoolSearch,6 to 12,6 to 12,647,0.96,0.9,0.55,BROOKLYN ,11233,40.677805,-73.91584300000001
85,Baccalaureate School for Global Education,"The Baccalaureate School for Global Education (BSGE) is authorized by the International Baccalaureate (IB) Organization to offer the Diploma Programme, a challenging college preparatory course of study that meets the needs of highly motivated students enabling them to succeed in post-secondary institutions. We expect all students who complete our course of study to be candidates for the IB Diploma. Our student body is comprised of an ethnically diverse and economically varied population. BSGE students learn in an environment that encourages inquiry as well as intellectual and social development. Our school community is committed to fostering learning opportunities enriched with global understanding and a sense of social responsibility.",Queensbridge-LIC,"34-12 36th Avenue, Astoria NY 11106(40.754975, -73.926977)",bsge.org,7 to 12,7 to 12,540,0.99,0.95,0.95,QUEENS   ,11106,40.755365999999995,-73.92716899999999
86,Flushing International High School,We serve recent immigrants who are both new to the United States and new learners of English. Teachers and students work in teams and teachers know their students well. Teams of teachers integrate interdisciplinary curriculum in which students work on projects that connect ideas from different classes. Both native language and English language development are supported across content areas. Students present graduation-level portfolio tasks as a requirement for graduation. Our program is designed to help immigrant students succeed in college and the world of work.,Murray Hill,"144-80 Barclay Avenue, Flushing NY 11355(40.759963, -73.818399)",fihsnyc.org,9 to 12,9 to 12,442,0.65,0.91,0.65,QUEENS   ,11355,40.759844,-73.820548
87,Bronx Compass High School,"Bronx Compass High School's mission is for all students to graduate equipped to succeed in the college and career of their choice. We instill in our students to have GRIT: Guts, Responsibility, Integrity and Tenacity, and our entire staff works closely with individual students to demonstrate these core values. During 9th and 10th grade, students take career exploration courses after school to learn what fields they are most passionate about. During 11th and 12th grade, students obtain internships with real world industry leaders to prepare for the 21st century workplace. In addition to college-readiness coursework, all students visit college campuses and research college options each year to determine the college of their dreams.",Castle Hill-Clason Point,"1980 Lafayette Avenue, Bronx NY 10473(40.821218, -73.85593)",bronxcompass.org,9 to 12,9 to 12,457,0.48,0.81,0.45,BRONX    ,10473,40.82229,-73.856167
88,Urban Assembly New York Harbor School,"Urban Assembly New York Harbor School focuses on marine science, marine technology, and marine policy. We believe in learning by doing. Students should expect to spend time outdoors in sites all over New York Harbor in all seasons. With our partners, including the Billion Oyster Project, we work to develop authentic activities on, around, and related to the water that create a sense of responsibility to New York Harbor and develop a new generation of maritime advocates, enthusiasts, workers, and decision-makers. New York Harbor School's location on Governors Island is easily accessible from Lower Manhattan via the Governors Island ferry.",Governors Island,"10 South Street, Slip 7, Manhattan NY 10004(40.689493, -74.018941)",newyorkharborschool.org,9 to 12,9 to 12,534,0.77,0.91,0.57,MANHATTAN,10004,40.701695,-74.01163100000001
89,Brooklyn Studio Secondary School,"Brooklyn Studio Secondary School believes that all students are capable of being strategic learners. We believe in teaching students how to learn. Our school community works tirelessly to achieve this through a curriculum that challenges and supports all of our students through individualized learning. Although considered a small school, we pride ourselves on offering programs comparable to a large school. Our students have the opportunity to take numerous electives, including Advanced Placement (AP) courses, courses affiliated with St. Francis College and CUNY College Now. Additionally, students can participate in extracurricular activities including clubs, performance ensembles, and athletic teams.",Bensonhurst West,"8310 21st Avenue, Brooklyn NY 11214(40.60498, -73.995084)",mybrooklynstudio.com,6 to 12,6 to 12,942,0.85,0.87,0.65,BROOKLYN ,11214,40.604879,-73.994404
